Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait descriptio,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method descriptio,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_358:0000101,boll color (1-4)_OBSOLETE,BOLLCL_E_1to4,CN germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000003,Boll color,Morphological,Coloration on boll surfaces,,BOLLCL,,Boll,color,Standard for CottonGen,,CO_358:0000099,BOLLCL - Estimantion,Estimation,"Boll color. Code Definition: 1=green, 2=red-green, 3=red, 4=blue-yellow",,,CO_358:0000100,boll color CN scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000104,"boll color (1-5,9)_OBSOLETE",BOLLCL_E_1to5_9,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000003,Boll color,Morphological,Coloration on boll surfaces,,BOLLCL,,Boll,color,Standard for CottonGen,,CO_358:0000102,BOLLCL - Estimantion,Estimation,"Boll color descriptor code dedinition: 1=green, 2=dark green, 3=light green, 4=red, 5=sun red, 9=seg/off type",,,CO_358:0000103,boll color NCGC scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000107,boll shape (1-4)_OBSOLETE,BOLLSP_E_1to4,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000004,Boll shape,Morphological,General description of degree of roundness to the boll shapes,,BOLLSP,,Boll,shape,Standard for CottonGen,,CO_358:0000105,BOLLSP - Estimantion,Estimation,"Boll shape. Code Definition: 1=round, 2=ovule, 3=long ovule, 4=conical",,,CO_358:0000106,boll shape CN scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000110,"boll shape (1-4,9)_OBSOLETE",BOLLSP_E_1to4_9,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000004,Boll shape,Morphological,General description of degree of roundness to the boll shapes,,BOLLSP,,Boll,shape,Standard for CottonGen,,CO_358:0000108,BOLLSP - Estimantion,Estimation,"Boll shape descriptor code definition: 1=oval, 2=round, 3=cone, 4=cone oval, 9=seg/off type",,,CO_358:0000109,boll shape NCGC scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000113,boll shape (1-3)_OBSOLETE,BOLLSP_E_1to3,UZ germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000004,Boll shape,Morphological,General description of degree of roundness to the boll shapes,,BOLLSP,,Boll,shape,Standard for CottonGen,,CO_358:0000111,BOLLSP - Estimantion,Estimation,"Boll shape. Code Definition: 1=Round, 2=Oval, 3=Conical",,,CO_358:0000112,boll shape UZ scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000117,SNPA (million/acre)_OBSOLETE,SNPA_Cmp_million_acre,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000114,Seed number per acre,Agronomic,Seed Number Per Acre (SNPA). Usually counted by number of millions,,SNPA,,Seed,number,Standard for CottonGen,,CO_358:0000115,SNPA - Computation,Computation,Seed Number Per Acre (SNPA). Usually counted by number of millions,SNPA=[SCY*SP]/SI,RBTN,CO_358:0000116,million/acre,Numerical,3,0,,,,,,,,,,,,
,CO_358:0000119,"QS (5,2.5,1,1.5)_OBSOLETE",QS-5-2.5-1-1.5_Cmp_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000014,Fiber quality score,Quality,"Fiber quality score (Qscore), very similar to a selection index, adds the weighted values of selected fiber traits (length, mic, UI, strength) to provide a single measure (0-100) of desirable fiber qualities",,FQS,,Fiber,quality,Standard for CottonGen,,CO_358:0000118,QS-5-2.5-1-1.5 - Computation,Computation,"Fiber quality score calculated by weighting selected fiber traits as follows: fiber length (0.5), mic (0.25), UI (0.10), and strength (0.15)",QS-5-2.5-1-1.5 = 5*FL+2.5*MIC+1*UI+1.5*FS,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000121,FUR (%)_OBSOLETE,FUR_Cmp_pct,trial/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000016,Fiber uniformity,Quality,The ratio between the mean length and the upper half mean length of the fibers expressed as a percentage,,FU,,Fiber,uniformity,Standard for CottonGen,,CO_358:0000120,FUR - Computation,Computation,FUR (fiber uniformity ratio) is the ratio between the 50% span length and 2.5% span length,FUR=100*SL50/SL2.5,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000124,boll size (1-3)_OBSOLETE,BS_E_1to3,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000005,Boll size,Morphological,Relative size of the bolls,,BS,,Boll,size,Standard for CottonGen,,CO_358:0000122,BS - Estimantion,Estimation,"Boll size. (Big, Relatively big, Relatively small)",,,CO_358:0000123,boll size CN scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000127,"boll size (1-4,9)_OBSOLETE",BS_E_1to4_9,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000005,Boll size,Morphological,Relative size of the bolls,,BS,,Boll,size,Standard for CottonGen,,CO_358:0000125,BS - Estimantion,Estimation,"Boll size descriptor code definition: 1=medium, 2=large, 3=small, 4=extra small, 9=seg/off type",,,CO_358:0000126,boll NCGC size scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000129,FUI (%)_OBSOLETE,FUI_M_pct,trial/germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000016,Fiber uniformity,Quality,The ratio between the mean length and the upper half mean length of the fibers expressed as a percentage,,FU,,Fiber,uniformity,Standard for CottonGen,,CO_358:0000128,FUI - HVI Measurement,Measurement,FUI is an HVI standard measurement. It is the ratio between the mean length (ML) and the upper half mean length (UHML) of the fibers expressed as a percentage (i.e. FUI=ML/UHML),,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000132,boll open (%)_OBSOLETE,"BOR_E_pct, ob",trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000130,Boll open rate,Agronomic,Visually boll open rated near the time of defoliation,,BOR,,Boll,open rate,Standard for CottonGen,,CO_358:0000131,BOR - Estimantion,Estimation,Visually boll open rated near the time of defoliation,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000134,LP (%)_OBSOLETE,LP_Cmp_pct,trial/germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000024,Lint percent,Agronomic,The weight of lint ginned from a sample of seed cotton expressed as a percentage of the weight of seed cotton,,LP,,Fiber,weight,Standard for CottonGen,,CO_358:0000133,LP - Computation,Computation,LP (Lint percent) = 100*(25_boll_lint_weight/25_boll_sample_weight),LP (Lint percent) = 100*(25_boll_lint_weight/25_boll_sample_weight),,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000137,cysteine (%)_OBSOLETE,"AACYS_E_pct, Cys",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000135,Seed cysteine content,Biochemical,The amount of total cotton seed protein that is composed of cysteine,,AACYS,,Seed,cysteine content,Standard for CottonGen,,CO_358:0000136,AACys - Measurement,Measurement,Standard method for seed cysteine content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000140,SCF %_OBSOLETE,SCF_M_pct,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000138,Seed coat fragment,Quality,Seed coat fragments (SCFs) are the parts of a seed coat that have been broken from the surface of either mature orimmature seeds during mechanical processing,,SCF,,Seed coat,fragment,Standard for CottonGen,,CO_358:0000139,SCF - AFIS Measurement,Measurement,Seed coat fragments (SCFs) are the parts of a seed coat that have been broken from the surface of either mature or immature seeds during mechanical processing measured by AFIS,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000143,GTO (%)_OBSOLETE,GTO_M_pct,trial/germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000141,Gin turnout,Quality,Gin turnout percentage is a simple measurement of the weight ratio of lint to seed cotton harvested from ginning,,GTO,,Fiber,gin turnout,Standard for CottonGen,,CO_358:0000142,GTO - Computation,Measurement,GTO (gin turnout) is the ratio of lint to seed cotton harvested from ginning,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000146,glycine (%)_OBSOLETE,"AAGLY_M_pct, Gly",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000144,Seed glycine content,Biochemical,The amount of total cotton seed protein that is composed of glycine,,AAGLY,,Seed,glycine content,Standard for CottonGen,,CO_358:0000145,AAGly - Measurement,Measurement,Standard method for seed glycine content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000150,FD (num/mm2)_OBSOLETE,FD_Cmp_num_mm2,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000147,Fiber density,Agronomic,"Fiber Density (FD), estimated fibers per mm2 of SSA (seed surface area)",,FD,,Fiber,density,Standard for CottonGen,,CO_358:0000148,FD - Computation,Computation,"Fiber Density (FD), estimated fibers per mm2 of SSA (seed surface area). FD=FPS/(35.74+(SI*6.59)",FD=FPS/(35.74+(SI*6.59),,CO_358:0000149,num/mm2,Numerical,0,0,,,,,,,,,,,,
,CO_358:0000154,FNPS HVI (num/seed)_OBSOLETE,FNPS_Cmp_num_seed,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000151,Fiber number per seed,Agronomic,Fiber number per seed (FNPS). Can be calculated using either HVI or AFIS measurements,,FNPS,,Fiber,number,Standard for CottonGen,,CO_358:0000152,FNPS - Computation,Computation,FNPS HVI: fibers per seed calculated using HVI measurements. FNPS=[LI(g)/100]/[[UHML(inch)*[FUI(%)/100]]*[MIC/1000000],FNPS=[LI(g)/100]/[[UHML(inch)*[FUI(%)/100]]*[MIC/1000000],,CO_358:0000153,num/seed,Numerical,0,0,,,,,,,,,,,,
,CO_358:0000157,free gossypol (%)_OBSOLETE,SGC_free_M_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000155,Gossypol free coutent (Obsolete),Biochemical,The gossypol content (including free and bound gossypol as well as methoxy-gossypol) in fuzzy seeds,,SGC,,Seed,gossypol content,Obsolete,,CO_358:0000156,SGC_free - Measurement,Measurement,Free gossypol is expressed as a percentage of the mass of the kernel,,NCVT,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000160,isoleucine (%)_OBSOLETE,"AAILE_M_pct, Ile",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000158,Seed isoleucine content,Biochemical,The amount of total cotton seed protein that is composed of isoleucine,,AAILE,,Seed,isoleucine content,Standard for CottonGen,,CO_358:0000159,AAIle - Measurement,Measurement,Standard method for seed isoleucine content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000163,leucine (%)_OBSOLETE,"AALEU_Lf_M_mg_kg, Leu",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000161,Seed leucine content,Biochemical,The amount of total cotton seed protein that is composed of leucine,,AALEU,,Seed,leucine content,Standard for CottonGen,,CO_358:0000162,AALEU - Measurement,Measurement,Standard method for seed leucine content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000166,linolenic acid (%)_OBSOLETE,"FALIN_M_pct, Lin",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000164,Seed linolenic acid content,Biochemical,The amount of total cotton seed oil that is composed of linolenic acid (omega-3 fatty acid),,FALIN,,Seed,linolenic acid content,Standard for CottonGen,,CO_358:0000165,FALIN - Measurement,Measurement,Standard method for seed linolenic acid content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000169,FIM (%)_OBSOLETE,"FIM_M_pct,Immature Fiber Content,IFC",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000167,Fiber immature content,Quality,The immaturity ratio is a dimensionless number which describes a physical characteristic of the fiber cross section,,FIM,,Fiber,maturity,Standard for CottonGen,,CO_358:0000168,FIM - AFIS Measurement,Measurement,"FIM (%), an AFIS measurement on Immature fiber content by weight (=Arealometer I)",,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000172,SNC (%)_OBSOLETE,SNC_M_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000170,Seed nitrogen content,Biochemical,Percentage of nitrogen by weight in of the mass of fuzzy seeds,,SNC,,Seed,nitrogen content,Standard for CottonGen,,CO_358:0000171,SNC - Measurement,Measurement,The nitrogen in fuzzy seeds as determined by AOCS Method Ba 4-38,,NCVT,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000176,trichome density on bract (num/cm)_OBSOLETE,DTB_Cnt_num_cm,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000173,Trichome density on bract,Morphological,Trichome density on margin of bract,,DTB,,Bract,trichome density,Standard for CottonGen,,CO_358:0000174,DTB - Counting,Counting,"Trichome density on margin of bract. A bract from a mid-canopy, first position boll is collected from six plants per plot and taken to laboratory, where they are examined using a viewing scope. Number of marginal trichomes in an designated area are counted, and expressed as number per cm",,,CO_358:0000175,num/cm,Numerical,1,0,,,,,,,,,,,,
,CO_358:0000179,oleic acid (%)_OBSOLETE,"FAOLE_M_pct, Ole",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000177,Seed oleic acid content,Biochemical,The amount of total cotton seed oil that is composed of oleic acid (omega-9 fatty acid),,FAOLE,,Seed,oleic acid content,Standard for CottonGen,,CO_358:0000178,FAOLE - Measurement,Measurement,Standard method for seed oleic acid content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000182,palmitic acid (%)_OBSOLETE,"FAPAL_M_pct, Pal",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000180,Seed palmitic acid content,Biochemical,The amount of total cotton seed oil that is composed of palmitic acid (omega-7 fatty acid),,FAPAL,,Seed,palmitic acid content,Standard for CottonGen,,CO_358:0000181,FAPAL - Measurement,Measurement,Standard method for seed palmitic acid content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000185,FF (1-3)_OBSOLETE,FF_E_1to3,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000010,Fiber fineness,Quality,Fiber fineness is a measure of the fiber's linear density and can be expressed as mass per unit length,,FF,,Fiber,fineness,Standard for CottonGen,,CO_358:0000183,FF - Estimation,Estimation,Fiber fineness estimate (High/Relatively high/Relatively low),,,CO_358:0000184,Fiber fineness CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000188,SP (%)_OBSOLETE,SP_M_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000186,Seed percent,Agronomic,"Seed Percentage (SP). It is determined from ginning boll samples, and is close to being the reciprocal of lint percentage",,SP,,Seed,percent,Standard for CottonGen,,CO_358:0000187,SP - Measurement,Measurement,"Seed Percentage (SP). It is determined from ginning boll samples, and is close to being the reciprocal of lint percentage",,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000191,phenylalanine (%)_OBSOLETE,"AAPHE_M_pct, Phe",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000189,Seed phenylalanine content,Biochemical,The amount of total cotton seed protein that is composed of phenylalanine (amino acid),,AAPHE,,Seed,phenylalanine content,Standard for CottonGen,,CO_358:0000190,AAPHE - Measurement,Measurement,Standard method for seed phenylalanine content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000194,Rd (%)_OBSOLETE,"CRD_M_pct, reflectance",germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000192,Reflectance,Quality,"Colorimeter Rd, the percentage of reflectance",,CRD,,Fiber,reflectance,Standard for CottonGen,,CO_358:0000193,CRD - Nickerson-Hunter Colorimeter Measurement,Measurement,A Measure of the percentage of reflectance on a Nickerson-Hunter Colorimeter. The higher the value the lighter the cotton,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000197,FF (mTx)_OBSOLETE,"FF_M_mTx, Mean fiber fineness,",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000010,Fiber fineness,Quality,Fiber fineness is a measure of the fiber's linear density and can be expressed as mass per unit length,,FF,,Fiber,fineness,Standard for CottonGen,,CO_358:0000195,FF - AFIS Measurement,Measurement,FF (fiber fineness) is an AFIS measurement on fiber fineness in weight per unit length (mTx or millitex). One thousand meters of fibers with a mass of 1 milligram equals 1 millitex,,,CO_358:0000196,mTx,Numerical,,0,,,,,,,,,,,,
,CO_358:0000200,FL (1-5)_OBSOLETE,FL_E_1to5,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000011,Fiber length,Quality,Fiber length is measured on a beard of cotton fibers on HVI systems and is reported in hundredths of an inch and equivalent staple length in thirty-seconds of an inch,,FL,,Fiber,length,Standard for CottonGen,,CO_358:0000198,FL - Estimantion,Estimation,Fiber length estimate (Extra long/Long/Relatively long/Intermediate/Short),,,CO_358:0000199,Fiber length CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000203,arginine (%)_OBSOLETE,"AAARG_M_pct, Arg",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000201,Seed arginine content,Biochemical,The amount of total cotton seed protein that is composed of arginine,,AAARG,,Seed,seed arginine content,Standard for CottonGen,,CO_358:0000202,AAArg - Measurement,Measurement,Standard method for seed arginine content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000206,aspartic acid (%)_OBSOLETE,"AAASP_M_pct, Asp",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000204,Seed aspartate content,Biochemical,The amount of total cotton seed protein that is composed of aspartate,,AAASP,,Seed,seed aspartate content,Standard for CottonGen,,CO_358:0000205,AAAsp - Measurement,Measurement,Standard method for seed aspartate content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000209,trichome density on leaf (0-3)_OBSOLETE,DTL_E_0to3,CN germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000050,Trichome density on leaf,Morphological,The degree or relative density of trichome on leaf,,DTL,,Leaf,trichome density,Standard for CottonGen,,CO_358:0000207,DTL - Estimation,Estimation,"Trichome density on leaf (Leaf pubescence amount). Code Definition: 0=none, 1=sparse, 2=intermediate, 3=dense",,,CO_358:0000208,DTL CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000212,serine (%)_OBSOLETE,"AASER_M_pct, Ser",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000210,Seed serine content,Biochemical,The amount of total cotton seed protein that is composed of serine,,AASER,,Seed,seed serine content,Standard for CottonGen,,CO_358:0000211,AASER - Measurement,Measurement,Standard method for seed serine content,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000215,stearic acid (%)_OBSOLETE,"FASTE_M_pct, Ste",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000213,Seed stearic acid content,Biochemical,The amount of total cotton seed oil that is composed of stearic acid,,FASTE,,Seed,stearic acid content,Standard for CottonGen,,CO_358:0000214,FASTE - Measurement,Measurement,Standard method for seed stearic acid content (%),,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000218,AREA (%)_OBSOLETE,AREA_M_pct,trial/germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000216,Trash content,Quality,"Trash content is a measure of the non-lint particles (like leaf, bark) in the cotton",,TRASH,,Fiber,trash content,Standard for CottonGen,,CO_358:0000217,Area - HVI Measurement,Measurement,"AREA is an HVI standard measurement, is given as the percentage of surface area occupied by trash when a cotton sample is scanned by a camera",,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
